data_set,metric,value,n,std_err,timestamp
train,mae,42.04066129357308,10,4.205814628135107,2022-05-17T01:51:15Z
train,mase,0.42189528815276933,10,0.046383390765924015,2022-05-17T01:51:15Z
train,rmse,61.37027291644163,10,5.932455703876669,2022-05-17T01:51:15Z
train,rsq,0.7350122793035676,10,0.04675733145324576,2022-05-17T01:51:15Z
test,rmse,37.44790918426003,NA,NA,2022-05-17T01:51:15Z
test,mae,24.644737498484805,NA,NA,2022-05-17T01:51:15Z
test,rsq,0.6846612608236924,NA,NA,2022-05-17T01:51:15Z
test,mase,0.5506054000809885,NA,NA,2022-05-17T01:51:15Z
train,mae,42.94858979322437,10,4.48432673956875,2022-05-20T15:23:46Z
train,mase,0.4290353592259765,10,0.046488654160643024,2022-05-20T15:23:46Z
train,rmse,61.94658953515165,10,6.342102609670717,2022-05-20T15:23:46Z
train,rsq,0.7296583462250431,10,0.04880312742140979,2022-05-20T15:23:46Z
test,rmse,39.44336756734131,NA,NA,2022-05-20T15:23:46Z
test,mae,26.20963429124937,NA,NA,2022-05-20T15:23:46Z
test,rsq,0.6668072409579212,NA,NA,2022-05-20T15:23:46Z
test,mase,0.5855678590935287,NA,NA,2022-05-20T15:23:46Z
